Unnamed: 0,label,text,label_num
4715,spam,"Subject: order verification
% rnd _ alt % rnd _ alt % rnd _ alt
over 150 meds to choose from with no prescription required
opt out 6
% rnd _ alt % rnd _ alt % rnd _ alt
",1
48,ham,"Subject: re : counties / meter types for gemc and midcon tx
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 23 / 99 12 : 42
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
faye ellis @ ect
12 / 23 / 99 12 : 37 pm
to : ami chokshi / corp / enron @ enron
cc :
subject : re : counties / meter types for gemc and midcon tx
fyi . . .
the online notification will go back to stacy , since she submitted the
requests , therefore i am sending you the following :
gulf energy meters :
meter # facility type flow direction description
19 - 1043 - 00 pool both e . mcfaddin
29320 pool both tejas plant
31 - 504 - 04 pool both trevino plant
440 - 552 pool both garza plant
440 - 557 pool both haynes plant
440 - 559 pool both comitas south
440 - 565 pdc receipt jennings 63 plant
midcon texas meters :
meter # facility type flow direction description
446 pool both jennings ranch
5553 pdc receipt greta / roc
5576 gpo receipt hall plant
faye
from : ami chokshi @ enron 12 / 23 / 99 11 : 34 am
to : faye ellis / hou / ect @ ect
cc :
subject : re : counties / meter types for gemc and midcon tx
gulf energy counties
all of the gulf energy meters are in zapata county .
midcon tx
hall plant and jennings are in zapata county
greta / tom o ' connor is in refugio county",0
1956,ham,"Subject: meter 980070 lonestar / hpl rusk for 10 / 99
peggy and patricia ,
this is the last allocation exception i have to clear . when you have the
time , could you check the volumes for gas days 28 - 31 for october , 1999 . i
phoned peggy this morning regarding this meter , and apparently it is outside
measured . i need to verify that flow occured so that i can have a deal ( s )
extended to allocate the flow to .
thank you again for all of your assistance , i really appreciate all that you
have done .
mary
daren ,
i am going to leave a copy of the meter volume , and prior purchases to review .
thank you for you assistance and patience .
mary",0
4813,spam,"Subject: you can start saving now
ookioog nfmio ? sits fra fe qte rht now
eop fthebest res o do ' t
e sityou withevry ogae tionere , uquosfohun of eswteantere tryur eeserv
w nortn ? cck teanmor
",1
3311,ham,"Subject: fw : ercot
here ' s the link to the ercot page .
- - - - - original message - - - - -
from : imai , rika
sent : wednesday , june 06 , 2001 3 : 55 pm
to : hull , bryan
subject : re : ercot
for the interm , please use the following link
there is a limit of 10 connections so not all of the people will necessarily be able to attach to it at once
- - - - - original message - - - - -
from : hull , bryan
sent : wednesday , june 06 , 2001 10 : 23 am
to : imai , rika
subject : ercot
rika ,
any word on access to the ercot website ?
thanks ,
bryan",0
4449,spam,"Subject: in pain ? we have pain relievers that will help .
if you ' re in need of a good rx site for online purchases , we are your answer .
with tens of thousands of happy customers who saved huge , you can ' t go wrong .
lots more info here
above url is for more info & if you are interested .",1
4154,spam,"Subject: my job sucked . . . . . how about yours k
business ~ minded ~ professionals
* * * * * * * * exclusive free report
* * * * * * * * lk - 2 k a day just returning phone calls . . .
we have thousands of people doing this right now !
1 - 618 - 355 - 1174
( 3 minute audio recording )
go here for our web
page info
discover all the extra dollars you need !
2 to 3 k per wk + more ~ passively ~ professionally
not multi - level - not stocks - not real estate
no cost tele - seminar
never worry about cash flow again !
1 - 618 - 355 - 1174
( 3 minute audio recording )
go here for our web
page info
* * * * * * * * * *
this is a commerclal ad .
you information was listed on a 100 % opt - in listing of people
interested in offers from home .
do not want emails like this ?
please go to the links above . there is a link that will purge
you from our list .
p . o . box 56148 denton tx , 76206
csdcgbvuokejisroaqtckf
bwawquqfbfcnbvdweyigei
oyidqcsixfshnjuwimcwqwn
wrvydzdunplhogtjyoeqsq
aqpppdxfhovktnydhfwolnq
nycbdytnkunfmwebbrvmkt
vymqmivgdnnzthjokyjde
2",1
4744,spam,"Subject: special promotion - get a las vegas vacation for 2
the walrus and the carpenter pt . 2
the moon was shining sulkily ,
because she thought the sun
had got no business to be there
after the day was done -
"" it ' s very rude of him , "" she said ,
"" to come and spoil the fun ! ""
kazagi lovaphazifa qbmjpvsh thupequup jjulefnplsjupt 1 hs ndast wostedat peweshoth hicabaw quith rubulucopec pewuh
",1
299,ham,"Subject: re : sale to shoreline
daren you are correct in that this was only in mops for the 26 th . it was
edi ' d over to pops from the 25 th through the 31 st populating all days with
the 16 , 700 nom . the nom was never - 0 - out in pops therefore the change
notification process in pops did not pick up a change at this meter . this
meter is pathed by kim and confirmed by me - it is extremely odd that this
was missed in mops . the record would have been out of balance and someone ,
if not several people , normally would make a comment on this . also - all
of my records indicate that the 16 , 700 was good through the 31 st except the
mops entry . my confirmations with koch didn ' t reflect the - 0 - ; the last
report i have from koch indicated the 16 , 700 stayed on , there was no record
of a phone call indicating anything other than 16 , 700 . it is very odd for
this many checks and balances to fail . also , the volumes were being sent
back to mops which no one caught .
i have spoken with koch today and they agree that the 16 , 700 should have gone
to - 0 - therefore i have removed the nom from pops confirmed volumes and
re - allocated the meter . the oba has taken the hit and i am working off the
imbalance now .
daren , i am sorry that you had to look into this when you feel this is my
responsibility . stella was trying to help me out in clearing up errors
because i was buried in current activity , thus the e - mail to you asking for
your help .
if this doesn ' t answer all the questions , just give me a call .
thanks ,
charlotte
daren j farmer
02 / 14 / 2000 12 : 50 pm
to : stella l morris / hou / ect @ ect , charlotte hawkins / hou / ect @ ect
cc : pat clynes / corp / enron @ enron
subject : re : sale to shoreline
stella and charlotte ,
i looked into this deal . we sold this gas for one day only . in mops , the
path was nominated for 1 / 26 only . however , in pops the path was nominated
and confirmed for 1 / 26 - 1 / 31 . this should have been showing up as a
bridgeback error during the month . also , someone should have identified that
the path / nom in mops wasn ' t the same as the nom in pops . this discrepancy
should have been found before we closed out january .
i researched this problem by reviewing both systems ( looking at the path id
in pops , finding it in mops , and checking the audit on the path in mops ) .
this type of issue should be researched and solved by the logistics group ,
who has all the necessary tools to find the problem . the resolution , not the
problem , should have been presented to myself or the marketer , with an
explanation of what happened . some one still needs to find out how the gas
was confirmed for the 27 th - 31 st .
since the gas apparently flowed , we will have to apply the overflow to the
oba . unless you can find a missing transport contract .
d
from : stella l morris 02 / 10 / 2000 02 : 26 pm
to : daren j farmer / hou / ect @ ect
cc : charlotte hawkins / hou / ect @ ect
subject : sale to shoreline
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 10 / 2000
02 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 02 / 10 / 2000 02 : 21 pm
to : joanie h ngo / hou / ect @ ect , katherine herrera / corp / enron @ enron
cc : stella l morris / hou / ect @ ect
subject : sale to shoreline
joanie ,
logistics is waiting to hear from daren on this issue . he will either need
to extend the deal or maybe there should be another deal in place . this
deal 155118 is valid on 1 / 26 / 00 only , but the rest of the volume you are
looking for is scheduled on days 1 / 27 - 1 / 31 . i am sure there is no
pricing on those days .
i will let you know as soon as i hear from them .",0
866,ham,"Subject: re : revised nomination - june , 2000
daren ,
fyi . per our discussion , the following nominations were revised on eog
resources :
meter # orig nom rev nom deal #
5263 4 , 755 5 , 820 126355
6067 3 , 726 4 , 600 126281
6748 2 , 005 3 , 300 126360
6742 4 , 743 10 , 120 126365
6296 5 , 733 2 , 300 126281
bob
daren j farmer
05 / 31 / 2000 05 : 51 pm
to : robert cotten / hou / ect @ ect
cc :
subject : re : revised nomination - june , 2000
bob ,
go ahead and accept the nom revision . i believe that this is with pge , not
el paso . how do the rest of our noms compare with eog ? i f they have a
higher volume at another meter than we do , i would like to increase our nom
there . in effect , i want to keep our physical index position as close as
possible to what we have in the system now .
d
enron north america corp .
from : robert cotten 05 / 31 / 2000 04 : 04 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : revised nomination - june , 2000
daren ,
charlotte hawkins is having trouble confirming the volume of 5 , 733 with el
paso . el paso will not confirm the volume that high . eog revised their
nomination as follows :
c / p name meter # orig nom rev nom
eog res . 6296 5 , 733 2 , 300
will you approve revising the volume in unify down to 2 , 300 ? please advise .
thanks .
bob",0
1590,ham,"Subject: re : sitara training
i ' ll switch with tom , that way , i can still make my appointment and it won ' t
be all guys in the next class ( you know how rowdy they get ) .
mary",0
2424,ham,"Subject: base gas roll 2 / 2001
jay , louis
i just wanted to confirm with you guys that we are going to run the base gas
roll for feb 2001 production tonight .
tomorrow night we will follow up with the updating of records to unify .
if this is not possible or incorrect please let me know .
thanks
gg",0
1368,ham,"Subject: revision # 1 - hpl nom for august 11 , 2000
( see attached file : hplo 811 . xls )
- hplo 811 . xls",0
3522,ham,"Subject: txu may 01
mike ,
i have the following outstanding issue with txu :
may 01 - contract 1856
a path is needed on delivery 17054701 for 19087 mmbtus with the receipt point 175054701 .
thanks !",0
614,ham,"Subject: deletion of your enrononline user id
password deletion
it has been noted that many users have passwords which match or are similar
to their user id ' s for internal enrononline applications ( stack manager ,
product manager , eol reports ) .
this is a significant security concern . therefore , there will be a sweep of
id ' s and passwords at the end of the day on thursday , april 5 . any user id ' s
which have passwords similar to the user id will be subject to deletion .
changing your password
passwords can be changed in either the stack manager or in eol reports .
to change your password in the stack manager , once logged on , go to toolbar &
select "" help "" and then select "" change password "" .
the system will request you to enter your new password twice .
to change your passsword in eol reports , open the reports application , log
in , select "" options "" and "" change password "" . the system will request you to
enter your new password twice . please note that the password change
functionality within the reports application is new . if it does not appear on
your menu and you are running on a standalone machine , you will need to
logout at the windows level and then login again to receive the updated
version .
if you have any questions , please call the enrononline help desk ( houston :
713 853 4357 , london : + 44 20 7783 7783 )
thank you for your assistance in preserving appropriate security .
dave",0
1426,ham,"Subject: enron / hpl actuals for august 18 - 20 , 2000
august 18 , 2000
teco tap 20 . 000 / enron ; 114 . 167 / hpl iferc
ls hpl lsk ic 20 . 000 / enron
august 19 , 2000
teco tap 20 . 000 / enron ; 96 . 667 / hpl iferc
ls hpl lsk ic 20 . 000 / enron
august 20 , 2000
teco tap 20 . 000 / enron ; 102 . 500 / hpl iferc
ls hpl lsk ic 20 . 000 / enron",0
2463,ham,"Subject: crosstex energy services , driscoll ranch # 1 , # 3 , duval cty . , tx .
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 01 / 25 / 2001 12 : 24
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : george weissman 01 / 23 / 2001 03 : 44 pm
to : melissa graves / hou / ect @ ect
cc : joanne harris / na / enron @ enron , donald p reinhardt / hou / ect @ ect , susan
smith / hou / ect @ ect , vance l taylor / hou / ect @ ect , kreg hall / hou / ect @ ect , christy
sweeney / hou / ect @ ect , jerry bubert / na / enron @ enron
subject : crosstex energy services , driscoll ranch # 1 , # 3 , duval cty . , tx .
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by george weissman / hou / ect on 01 / 23 / 2001
03 : 38 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
jerry bubert
01 / 23 / 2001 03 : 38 pm
to : shawna flynn / hou / ect @ ect
cc : brian m riley / hou / ect @ ect , george weissman / hou / ect @ ect , robert
walker / hou / ect @ ect , kimberlee a bennick / hou / ect @ ect , christy
sweeney / hou / ect @ ect
subject : crosstex energy services , driscoll ranch # 1 , # 3 , duval cty . , tx .
crosstex has requested gas daily pricing for the above wells for the period
2 / 1 / 01 - 2 / 28 / 01 . please prepare a transaction agreement for use with gas
daily pricing transactions formed under section 2 . 2 of the gas purchase
agreement with crosstex with the following terms :
term : february 1 , 2001 through february 28 , 2001
delivery points : hpl meter nos . 9858 and 9868
first 8000 mmbtu / d in the aggregate at the base price of if hsc less $ 0 . 10 .
gas delivered in excess of the 8000 mmbtu / d in the aggragate at gda hsc less
$ 0 . 15 .
thanks . jerry",0
46,ham,"Subject: revision
huntsville / woodlands / conroe 11500 by 8 days = 92 , 000
big ticket 120000 @ 4 days = 480 , 000
50000 @ 4 days = 200 , 000
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 23 / 99 09 : 16
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : ami chokshi 12 / 23 / 99 08 : 27 am
to : david baumbach / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc :
subject :
entex increase rom :
huntsville / woodlands / conroe 11500 by 8 days = 92 , 000
big ticket 50000 by 8 days = 400 , 000
ami",0
3814,spam,"Subject: suprise your spouse ! vi [ agra !
",1
